tamanho;cenario;algoritmo;media_comparacoes;media_movimentacoes;media_tempo_ms
100000;Ordenado;Bubble Sort;99999.00;0.00;1.054797
100000;Ordenado;InsertionSort;99999.00;200000.00;1.863391
100000;Ordenado;Selection Sort;4999950000.00;0.00;1115.346649
100000;Ordenado;Merch Sort;0.00;1668928.00;2.018159
100000;Ordenado;Quick Sort;1600016.00;0.00;3.534866
100000;Ordenado;Heap Sort;249995.00;599991.00;1.076674
100000;Ordenado;Shell Sort;1500006.00;3000012.00;2.949567
100000;Invertido;Bubble Sort;4999950000.00;14999850000.00;5623.399662
100000;Invertido;InsertionSort;9999900000.00;200000.00;3292.727303
100000;Invertido;Selection Sort;4999950000.00;150000.00;4951.261243
100000;Invertido;Merch Sort;0.00;1668928.00;0.672328
100000;Invertido;Quick Sort;1600030.00;150000.00;2.409148
100000;Invertido;Heap Sort;149998.00;300000.00;0.136038
100000;Invertido;Shell Sort;3089145.00;3000012.00;5.981133
100000;Aleatorio;Bubble Sort;4999729641.67;7496685210.00;10460.591418
100000;Aleatorio;InsertionSort;4997890126.33;200000.00;1693.432100
100000;Aleatorio;Selection Sort;4999950000.00;299969.00;3689.810940
100000;Aleatorio;Merch Sort;0.00;1668928.00;0.637842
100000;Aleatorio;Quick Sort;2262511.00;1160771.00;9.203386
100000;Aleatorio;Heap Sort;180675.67;392033.00;0.351307
100000;Aleatorio;Shell Sort;7142823.00;3000012.00;9.553491
1000000;Ordenado;Bubble Sort;999999.00;0.00;0.186107
1000000;Ordenado;InsertionSort;999999.00;2000000.00;1.118317
1000000;Ordenado;Selection Sort;499999500000.00;0.00;448606.411070
1000000;Ordenado;Merch Sort;0.00;19951424.00;8.020671
1000000;Ordenado;Quick Sort;19000019.00;0.00;10.078263
1000000;Ordenado;Heap Sort;2499995.00;5999991.00;2.122343
1000000;Ordenado;Shell Sort;18000007.00;36000014.00;14.679380
1000000;Invertido;Bubble Sort;499999500000.00;1499998500000.00;556441.256915
1000000;Invertido;InsertionSort;999999000000.00;2000000.00;366232.398626
1000000;Invertido;Selection Sort;499999500000.00;1500000.00;772371.071093
1000000;Invertido;Merch Sort;0.00;19951424.00;7.056674
1000000;Invertido;Quick Sort;19000036.00;1500000.00;11.019764
1000000;Invertido;Heap Sort;1499998.00;3000000.00;1.358026
1000000;Invertido;Shell Sort;35715034.00;36000014.00;20.693739
1000000;Aleatorio;Bubble Sort;499999039331.33;750060780607.00;1106917.917059
1000000;Aleatorio;InsertionSort;500041520390.00;2000000.00;188262.703555
1000000;Aleatorio;Selection Sort;499999500000.00;2999954.00;790403.392593
1000000;Aleatorio;Merch Sort;0.00;19951424.00;6.908329
1000000;Aleatorio;Quick Sort;27032913.33;13956217.00;84.965555
1000000;Aleatorio;Heap Sort;1806979.00;3920943.00;3.310285
1000000;Aleatorio;Shell Sort;116443358.67;36000014.00;126.733118
