tamanho;cenario;algoritmo;execucao;comparacoes;movimentacoes;tempo_ms;ordenado
100000;Ordenado;Bubble Sort;1;99999;0;2.809456;sim
100000;Ordenado;InsertionSort;1;99999;200000;4.994361;sim
100000;Ordenado;Selection Sort;1;4999950000;0;1233.826382;sim
100000;Ordenado;Merch Sort;1;0;1668928;4.779126;sim
100000;Ordenado;Quick Sort;1;1600016;0;5.657058;sim
100000;Ordenado;Heap Sort;1;249995;599991;2.594118;nao
100000;Ordenado;Shell Sort;1;1500006;3000012;7.518200;sim
100000;Ordenado;Bubble Sort;2;99999;0;0.281509;sim
100000;Ordenado;InsertionSort;2;99999;200000;0.497141;sim
100000;Ordenado;Selection Sort;2;4999950000;0;1216.000012;sim
100000;Ordenado;Merch Sort;2;0;1668928;0.649232;sim
100000;Ordenado;Quick Sort;2;1600016;0;4.136943;sim
100000;Ordenado;Heap Sort;2;249995;599991;0.320960;nao
100000;Ordenado;Shell Sort;2;1500006;3000012;0.724492;sim
100000;Ordenado;Bubble Sort;3;99999;0;0.073426;sim
100000;Ordenado;InsertionSort;3;99999;200000;0.098670;sim
100000;Ordenado;Selection Sort;3;4999950000;0;896.213553;sim
100000;Ordenado;Merch Sort;3;0;1668928;0.626120;sim
100000;Ordenado;Quick Sort;3;1600016;0;0.810597;sim
100000;Ordenado;Heap Sort;3;249995;599991;0.314944;nao
100000;Ordenado;Shell Sort;3;1500006;3000012;0.606010;sim
100000;Invertido;Bubble Sort;1;4999950000;14999850000;5836.343614;sim
100000;Invertido;InsertionSort;1;9999900000;200000;3310.152518;sim
100000;Invertido;Selection Sort;1;4999950000;150000;3577.866681;sim
100000;Invertido;Merch Sort;1;0;1668928;0.658201;nao
100000;Invertido;Quick Sort;1;1600030;150000;4.978117;sim
100000;Invertido;Heap Sort;1;149998;300000;0.142524;nao
100000;Invertido;Shell Sort;1;3089145;3000012;11.970547;sim
100000;Invertido;Bubble Sort;2;4999950000;14999850000;5529.638886;sim
100000;Invertido;InsertionSort;2;9999900000;200000;3282.405027;sim
100000;Invertido;Selection Sort;2;4999950000;150000;7683.017662;sim
100000;Invertido;Merch Sort;2;0;1668928;0.607090;nao
100000;Invertido;Quick Sort;2;1600030;150000;1.014971;sim
100000;Invertido;Heap Sort;2;149998;300000;0.133253;nao
100000;Invertido;Shell Sort;2;3089145;3000012;4.211462;sim
100000;Invertido;Bubble Sort;3;4999950000;14999850000;5504.216485;sim
100000;Invertido;InsertionSort;3;9999900000;200000;3285.624365;sim
100000;Invertido;Selection Sort;3;4999950000;150000;3592.899386;sim
100000;Invertido;Merch Sort;3;0;1668928;0.751694;nao
100000;Invertido;Quick Sort;3;1600030;150000;1.234355;sim
100000;Invertido;Heap Sort;3;149998;300000;0.132337;nao
100000;Invertido;Shell Sort;3;3089145;3000012;1.761389;sim
100000;Aleatorio;Bubble Sort;1;4999740372;7505218917;10450.622854;sim
100000;Aleatorio;InsertionSort;1;5003579265;200000;1643.180104;sim
100000;Aleatorio;Selection Sort;1;4999950000;299976;3680.770969;sim
100000;Aleatorio;Merch Sort;1;0;1668928;0.630090;nao
100000;Aleatorio;Quick Sort;1;2262665;1158744;13.059634;sim
100000;Aleatorio;Heap Sort;1;180545;391641;0.319221;nao
100000;Aleatorio;Shell Sort;1;7260511;3000012;9.599520;sim
100000;Aleatorio;Bubble Sort;2;4999780929;7480541109;10475.413626;sim
100000;Aleatorio;InsertionSort;2;4987127391;200000;1636.131585;sim
100000;Aleatorio;Selection Sort;2;4999950000;299973;3697.313833;sim
